model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
XRT_1_AutoML_1_20250822_171147,1.0,0.0046317053386382,1.0,0.0,0.037476659402887,0.0014045,98,0.161696,DRF
XGBoost_grid_1_AutoML_1_20250822_171147_model_9,1.0,0.1552238705777251,1.0,0.0,0.1450564459188566,0.0210413725026101,231,0.079096,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_5,1.0,0.0118358642316592,1.0,0.0,0.012567481203815,0.0001579415838082454,373,0.085118,XGBoost
GBM_5_AutoML_1_20250822_171147,1.0,5.1356332041021374e-05,1.0,0.0,0.0007225164831319711,5.22030068397392e-07,988,0.187556,GBM
GBM_grid_1_AutoML_1_20250822_171147_model_8,1.0,0.3703382720596596,1.0,0.0,0.3137407443485183,0.0984332546643623,24,0.058605,GBM
XGBoost_grid_1_AutoML_1_20250822_171147_model_12,1.0,0.2290289305069652,1.0,0.0,0.2051920298814734,0.0421037691268794,246,0.043207,XGBoost
GBM_2_AutoML_1_20250822_171147,1.0,0.0005166264046080659,1.0,0.0,0.0069083705018606,4.772558299097855e-05,1191,0.121731,GBM
XGBoost_2_AutoML_1_20250822_171147,1.0,0.0999999044297249,1.0,0.0,0.0969909482493071,0.0094072440422997,1102,0.029094,XGBoost
GBM_3_AutoML_1_20250822_171147,1.0,9.3620005919906e-09,1.0,0.0,1.3214647201851454e-07,1.7462690066940042e-14,823,0.129104,GBM
XGBoost_3_AutoML_1_20250822_171147,1.0,0.0458955323295466,1.0,0.0,0.0484829346048631,0.0023505949478994,397,0.028518,XGBoost
GBM_grid_1_AutoML_1_20250822_171147_model_1,1.0,0.00032331796218794536,1.0,0.0,0.004423060480985,1.9563464018452e-05,661,0.118693,GBM
XGBoost_grid_1_AutoML_1_20250822_171147_model_4,1.0,0.049402300114444,1.0,0.0,0.0491508255115295,0.0024158036484648,2307,0.035374,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_2,1.0,0.0113864192038494,1.0,0.0,0.0172892704420824,0.0002989188724194669,440,0.052743,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_14,1.0,0.0765232783057061,1.0,0.0,0.0887492512084616,0.0078764295900626,1064,0.064453,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_13,1.0,0.0135802221946962,1.0,0.0,0.0137872985400769,0.0001900896010332076,1111,0.041611,XGBoost
GBM_grid_1_AutoML_1_20250822_171147_model_4,1.0,6.357275352899927e-09,1.0,0.0,8.98044323819968e-08,8.064836075452636e-15,938,0.150279,GBM
XGBoost_grid_1_AutoML_1_20250822_171147_model_10,1.0,0.056756885379106,1.0,0.0,0.0551762580871582,0.0030444194565006,871,0.030153,XGBoost
GBM_grid_1_AutoML_1_20250822_171147_model_2,1.0,6.010036912946043e-13,1.0,0.0,8.499475712140401e-12,7.224108738126457e-23,1035,0.242099,GBM
GBM_grid_1_AutoML_1_20250822_171147_model_5,1.0,1.2994454219160462e-07,1.0,0.0,1.7968356591122807e-06,3.2286183858574644e-12,914,0.286336,GBM
DRF_1_AutoML_1_20250822_171147,1.0,0.004785563631972,1.0,0.0,0.0393954312071844,0.001552,149,0.077134,DRF
XGBoost_1_AutoML_1_20250822_171147,1.0,0.2312785293569472,1.0,0.0,0.2069636096187923,0.0428339357064398,1070,0.04656,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_8,1.0,0.059960359558731,1.0,0.0,0.0598899969648562,0.0035868117364504,398,0.059712,XGBoost
GBM_grid_1_AutoML_1_20250822_171147_model_3,1.0,4.54278468039214e-10,1.0,0.0,6.0302346191610396e-09,3.636372956212829e-17,1239,0.195291,GBM
XGBoost_grid_1_AutoML_1_20250822_171147_model_7,1.0,0.0575681471535487,1.0,0.0,0.0563903202283376,0.0031798682154544,499,0.073068,XGBoost
GBM_4_AutoML_1_20250822_171147,1.0,1.3887554388947433e-08,1.0,0.0,1.962076027439609e-07,3.849742337453195e-14,772,0.189633,GBM
XGBoost_grid_1_AutoML_1_20250822_171147_model_11,1.0,0.0347726628642022,1.0,0.0,0.0361264776750747,0.0013051223892076,947,0.07052,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_1,1.0,0.012927992115652,1.0,0.0,0.0327473944542057,0.0010723918435393,758,0.060701,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_3,1.0,0.0567368559446691,1.0,0.0,0.05515733361245,0.0030423314512351,741,0.070245,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_15,0.5,0.6934580891022373,0.5,0.5,0.5001553818055958,0.2501554059491013,110,0.054648,XGBoost
XGBoost_grid_1_AutoML_1_20250822_171147_model_6,0.5,0.6931568497070557,0.5,0.5,0.5000048345034367,0.2500048345268091,2483,0.057239,XGBoost
